Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A913721,"1825 KRAMER LANE
AUSTIN 78758
(30.385050997, -97.709253979)",Yes (come to the shelter),09/20/2024,Cat,Domestic Medium Hair,Cream Tabby,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A913721
A913725,"1825 KRAMER LANE
AUSTIN 78758
(30.385050997, -97.709253979)",Yes (come to the shelter),09/20/2024,Cat,Domestic Shorthair,Torbie,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A913725
A913743,"1811 EAST 40TH STREET
AUSTIN 78753
(30.291572996, -97.709060022)",Yes (come to the shelter),09/20/2024,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A913743
A913992,"2904 EAST SECOND STREET
AUSTIN 78702
(30.2534, -97.71096)",Yes (come to the shelter),09/24/2024,Cat,Domestic Shorthair,Brown Tabby,Intact Female,10 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A913992
A913994,"2904 EAST SECOND STREET
AUSTIN 78702
(30.2534, -97.71096)",Yes (come to the shelter),09/24/2024,Cat,Domestic Shorthair,Brown Tabby,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913994
A913995,"2904 EAST SECOND STREET
AUSTIN 78702
(30.2534, -97.71096)",Yes (come to the shelter),09/24/2024,Cat,Domestic Shorthair,Brown Tabby,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913995
A914023,"124 W ANDERSON LN
AUSTIN 78757
(30.34447, -97.70534)",Yes (come to the shelter),09/24/2024,Dog,Alaskan Husky/German Shepherd,Tricolor,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A914023
A913900,"6204 RICHARDSON LN
AUSTIN 78741
(30.236640483, -97.696963621)",Yes (come to the shelter),09/23/2024,Cat,Domestic Shorthair,Brown Tabby,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A913900
A912946,"8304 ORIZZONTE ST
AUSTIN 78744
(30.1462, -97.71757)",Yes (come to the shelter),09/24/2024,Cat,Domestic Shorthair,Black/White,Neutered Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A912946
A913751,"35 AND CASCADES AVENUE
AUSTIN 78747
(30.133824907, -97.798016489)",Yes (come to the shelter),09/20/2024,Cat,Domestic Shorthair,Blue/White,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913751
A914002,"2904 EAST SECOND STREET
AUSTIN 78702
(30.2534, -97.71096)",Yes (come to the shelter),09/24/2024,Cat,Domestic Shorthair,Black,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A914002
A912855,"6301 CIRCULO
DE AMISTAD 78741
(30.23435, -97.69702)",No (contact for more info),09/24/2024,Dog,Pit Bull Mix,Black,Intact Male,8 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A912855
A913744,"9900 IH
AUSTIN 78748
(30.1628868, -97.8198863)",No (contact for more info),09/20/2024,Cat,Domestic Shorthair,Orange/White,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913744
A913906,"2606 WHELESS LN
AUSTIN 78723
(30.31094, -97.68015)",Yes (come to the shelter),09/23/2024,Cat,Domestic Shorthair,Brown Tabby,Intact Male,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913906
A913923,"12101 SALEM HOUSE WAY
AUSTIN 78753
(30.38836, -97.66271)",Yes (come to the shelter),09/23/2024,Cat,Domestic Medium Hair,Orange Tabby,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913923
A913914,"3101 ROCKHILL DR78645
(30.4035, -97.958)",Yes (come to the shelter),09/23/2024,Cat,Domestic Shorthair,Brown Tabby,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A913914
A913722,"10504 GEORGIAN DR
AUSTIN 78753
(30.37184401, -97.686251019)",No (contact for more info),09/20/2024,Cat,Domestic Shorthair,Brown Tabby/White,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913722
A914031,"OAK SPRINGS
AUSTIN 78704",Yes (come to the shelter),09/24/2024,Dog,Pug/Chihuahua Shorthair,Tan/Black,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A914031
A913915,"900 BLACKSON AVE
AUSTIN 78752
(30.33404, -97.69971)",No (contact for more info),09/23/2024,Cat,Domestic Shorthair,White/Black,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913915
A913917,"900 BLACKSON AVE
AUSTIN 78752
(30.33404, -97.69971)",No (contact for more info),09/23/2024,Cat,Domestic Shorthair,Black/White,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913917
A913734,"6407 DEL MONTE ROAD
AUSTIN 78741
(30.240293015, -97.690247008)",Yes (come to the shelter),09/20/2024,Cat,Domestic Shorthair Mix,Tortie,Spayed Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A913734
A913254,6510 FM78747,No (contact for more info),09/24/2024,Dog,Pointer Mix,White/Black,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A913254
A913255,6510 FM78747,No (contact for more info),09/24/2024,Dog,Pointer Mix,White/Black,Intact Male,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A913255
A913877,"5263 CIR
AUSTIN 78617
(30.1650139, -97.6138203)",No (contact for more info),09/23/2024,Cat,Domestic Shorthair,Torbie,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913877
A913891,"3201 BURLESON RD
AUSTIN 78741
(30.219942005, -97.733482038)",Yes (come to the shelter),09/23/2024,Cat,Domestic Shorthair,Black,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A913891
